RG,sample,chr,start,end,length,number_of_markers,quality
RG,NMG03,10,91352966,92634383,1281418,21,32.2
RG,NMG03,10,104127171,104356822,229652,19,19.9
RG,NMG03,10,135061112,135090183,29072,27,30.5
RG,NMG03,10,135160950,135207936,46987,20,14.8
RG,NMG03,10,135271789,135439925,168137,32,42.8
RG,NMG03,11,550028,587400,37373,22,23.9
RG,NMG03,11,1480638,1605979,125342,22,4.6
RG,NMG03,11,3382069,3659993,277925,20,21.0
RG,NMG03,11,5758062,6007272,249211,42,60.9
RG,NMG03,11,6738728,7022160,283433,25,18.7
RG,NMG03,11,7646879,7725092,78214,39,45.9
RG,NMG03,11,8788168,9091244,303077,34,36.1
RG,NMG03,11,26620101,27114659,494559,31,39.0
RG,NMG03,11,34680053,35198032,517980,34,47.1
RG,NMG03,11,45672594,45991161,318568,19,21.3
RG,NMG03,11,63668557,63883985,215429,16,7.4
RG,NMG03,11,64878661,65144075,265415,18,5.6
RG,NMG03,11,71707465,71797422,89958,15,8.8
RG,NMG03,11,72281884,72307528,25645,26,41.4
RG,NMG03,11,104761013,104872981,111969,15,11.7
RG,NMG03,11,116701535,117078338,376804,25,21.1
RG,NMG03,11,117152540,117299015,146476,22,14.2
RG,NMG03,11,118851138,118967758,116621,56,63.3
RG,NMG03,12,2757769,2907087,149319,19,17.2
RG,NMG03,12,4671490,4870363,198874,24,24.1
RG,NMG03,12,10780434,11138683,358250,21,11.1
RG,NMG03,12,21011310,21427608,416299,28,36.2
RG,NMG03,12,31132479,31244592,112114,19,5.1
RG,NMG03,12,50746917,51364349,617433,23,9.6
RG,NMG03,12,52862770,52961153,98384,49,62.0
RG,NMG03,12,56649601,56871314,221714,26,20.3
RG,NMG03,12,67701103,68724951,1023849,16,6.2
RG,NMG03,12,80735771,80841924,106154,22,10.6
RG,NMG03,12,108923950,108985945,61996,25,30.4
RG,NMG03,12,133780309,133797649,17341,9,15.3
RG,NMG03,13,26107591,26411631,304041,21,24.1
RG,NMG03,13,46066163,46170609,104447,16,9.7
RG,NMG03,13,52701782,53608479,906698,33,43.7
RG,NMG03,13,75884216,76334818,450603,19,10.1
RG,NMG03,13,98629334,98896776,267443,15,16.7
RG,NMG03,13,101315621,102029261,713641,19,12.6
RG,NMG03,14,21770914,21858944,88031,27,32.2
RG,NMG03,14,21862760,22037876,175117,24,18.4
RG,NMG03,14,35223956,35871093,647138,32,44.9
RG,NMG03,14,50199680,50459609,259930,20,5.8
RG,NMG03,14,52496091,52736310,240220,20,19.4
RG,NMG03,14,59787053,59931697,144645,15,10.7
RG,NMG03,14,68242898,69328441,1085544,23,14.1
RG,NMG03,14,74192165,74340555,148391,14,4.4
RG,NMG03,14,77236147,77492891,256745,19,31.4
RG,NMG03,14,88400449,88651962,251514,25,44.3
RG,NMG03,14,93276806,93412609,135804,19,15.5
RG,NMG03,14,104167075,104498121,331047,26,20.2
RG,NMG03,14,105404384,105417285,12902,56,64.9
RG,NMG03,15,31119861,31357138,237278,23,25.1
RG,NMG03,15,38643009,38990769,347761,18,14.4
RG,NMG03,15,40820805,41068771,247967,17,5.7
RG,NMG03,15,42046568,42144979,98412,32,32.6
RG,NMG03,15,45388382,45424286,35905,23,16.4
RG,NMG03,15,47873549,48520699,647151,14,9.3
RG,NMG03,15,48720271,49293194,572924,15,6.9
RG,NMG03,15,50888619,51634255,745637,28,35.7
RG,NMG03,15,61521579,62456358,934780,27,38.1
RG,NMG03,15,68445912,68695448,249537,21,24.9
RG,NMG03,15,69683945,70368432,684488,21,24.8
RG,NMG03,15,72454729,72668305,213577,21,31.7
RG,NMG03,15,74032783,74467999,435217,34,41.8
RG,NMG03,15,74477216,75982409,1505194,56,42.2
RG,NMG03,15,76054835,78189075,2134241,47,44.9
RG,NMG03,15,78207671,78272205,64535,34,39.8
RG,NMG03,15,78386264,78632830,246567,31,37.9
RG,NMG03,15,85463930,86163336,699407,38,43.1
RG,NMG03,15,86199049,86368835,169787,19,10.8
RG,NMG03,15,88428702,89382261,953560,14,12.5
RG,NMG03,15,90128799,90188514,59716,25,29.1
RG,NMG03,15,101551136,101717680,166545,19,14.0
RG,NMG03,16,2808085,2867450,59366,20,18.1
RG,NMG03,16,3197623,3490922,293300,28,30.8
RG,NMG03,16,8989403,9943471,954069,18,20.6
RG,NMG03,16,11540596,11643631,103036,19,16.2
RG,NMG03,16,34318731,47001626,12682896,25,37.0
RG,NMG03,16,56624079,56702000,77922,20,10.7
RG,NMG03,16,76343812,76587202,243391,19,15.4
RG,NMG03,16,80718879,81094696,375818,18,4.1
RG,NMG03,16,81173030,81193321,20292,30,23.8
RG,NMG03,16,85769034,86369306,600273,24,31.6
RG,NMG03,16,88012032,88505635,493604,32,29.2
RG,NMG03,16,89160452,89212200,51749,23,34.8
RG,NMG03,16,89783187,89998157,214971,115,64.6
RG,NMG03,16,90075412,90161400,85989,20,40.9
RG,NMG03,17,6115,131516,125402,11,3.4
RG,NMG03,17,3989669,4210162,220494,20,10.4
RG,NMG03,17,8066107,8166297,100191,20,4.5
RG,NMG03,17,26678960,26817537,138578,14,9.4
RG,NMG03,17,39884091,40169519,285429,61,58.5
RG,NMG03,17,41566636,41738216,171581,18,21.6
RG,NMG03,17,74857676,74920957,63282,20,7.6
RG,NMG03,17,76394042,76420373,26332,19,9.1
RG,NMG03,17,78055758,78155182,99425,55,65.4
RG,NMG03,17,79589242,79637349,48108,22,30.8
RG,NMG03,17,80674643,80878389,203747,27,28.7
RG,NMG03,18,117241,331506,214266,11,3.6
RG,NMG03,18,5232843,5891637,658795,17,15.3
RG,NMG03,18,44595809,45691715,1095907,16,11.7
RG,NMG03,18,53696010,54448778,752769,18,20.4
RG,NMG03,18,56196451,56246682,50232,23,24.7
RG,NMG03,18,67724802,70208898,2484097,17,21.0
RG,NMG03,18,71442077,72264397,822321,38,45.6
RG,NMG03,19,1051751,1077985,26235,26,12.5
RG,NMG03,19,3595794,3730169,134376,37,44.3
RG,NMG03,19,6441821,6501998,60178,23,26.0
RG,NMG03,19,8321182,8551094,229913,44,52.6
RG,NMG03,19,14805604,14910210,104607,38,46.2
RG,NMG03,19,15198292,15350329,152038,47,59.6
RG,NMG03,19,15990048,16146400,156353,27,35.9
RG,NMG03,19,16265494,16435717,170224,24,29.4
RG,NMG03,19,18650692,19036871,386180,41,41.9
RG,NMG03,19,19431423,19750822,319400,21,12.4
RG,NMG03,19,21216536,21838002,621467,29,33.1
RG,NMG03,19,46800228,46856963,56736,20,11.1
RG,NMG03,19,49558498,49631469,72972,20,5.0
RG,NMG03,19,51380110,51499116,119007,26,20.4
RG,NMG03,19,53576465,53706984,130520,17,7.5
RG,NMG03,19,54754820,54797848,43029,23,14.2
RG,NMG03,19,55856083,55895509,39427,21,5.5
RG,NMG03,20,23528536,23666588,138053,20,21.7
RG,NMG03,20,44259490,44484097,224608,15,6.4
RG,NMG03,20,50223975,50771635,547661,33,51.9
RG,NMG03,20,57246493,57415110,168618,21,31.1
RG,NMG03,20,62198348,62319464,121117,37,28.3
RG,NMG03,21,42767733,42839661,71929,20,14.1
RG,NMG03,21,45538725,45643008,104284,20,9.4
RG,NMG03,21,46020720,46271452,250733,53,63.8
RG,NMG03,22,23494833,23540609,45777,22,18.8
RG,NMG03,22,36657474,36716209,58736,33,12.0
RG,NMG03,X,2700157,2832570,132414,18,21.9
RG,NMG03,X,2847133,14599230,11752098,102,56.2
RG,NMG03,X,37701048,48544650,10843603,98,56.1
RG,NMG03,X,48649456,52825471,4176016,43,46.2
RG,NMG03,X,53228148,96048757,42820610,223,58.6
RG,NMG03,X,144337081,149887056,5549976,42,40.6
RG,NMG03,X,150348228,152845618,2497391,60,51.7
RG,NMG03,X,152935705,153416537,480833,47,57.6
RG,NMG03,X,153629155,154774707,1145553,17,33.8
